recommendation_id,customer_id,score_id,recommended_product_id,recommended_action,recommended_channel,recommended_timing,message_angle,expected_conversion,priority,suppression_flag,recommendation_timestamp,status,priority_rank
REC000000001,CUS00000001,SC000000001,P001,RM_CALL,RM_CALL,Trong tuần này,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.5171,Low,False,2026-08-31 18:00:00,RM_APPROVAL,1
REC000000002,CUS00000001,SC000000003,P007,RM_ASSISTED_MESSAGE,RM_CALL,Trong 2 tuần tới,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.547,Low,False,2026-08-31 18:00:00,RM_APPROVAL,2
REC000000003,CUS00000001,SC000000004,P009,RM_ASSISTED_MESSAGE,RM_CALL,Nurture 30 ngày,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.5316,Low,False,2026-08-31 18:00:00,RM_APPROVAL,3
REC000000004,CUS00000002,SC000000006,P004,NURTURE,EMAIL,Trong tuần này,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.4645,Do not prioritize,False,2026-08-31 18:00:00,NEW,1
REC000000005,CUS00000002,SC000000005,P001,NURTURE,EMAIL,Trong 2 tuần tới,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.3528,Do not prioritize,False,2026-08-31 18:00:00,NEW,2
REC000000006,CUS00000002,SC000000007,P007,NURTURE,EMAIL,Nurture 30 ngày,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.2656,Do not prioritize,False,2026-08-31 18:00:00,NEW,3
REC000000007,CUS00000003,SC000000011,P007,NO_CONTACT,NONE,Trong tuần này,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.5526,Do not prioritize,True,2026-08-31 18:00:00,BLOCKED,1
REC000000008,CUS00000003,SC000000009,P001,NO_CONTACT,NONE,Trong 2 tuần tới,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.3608,Do not prioritize,True,2026-08-31 18:00:00,BLOCKED,2
REC000000009,CUS00000003,SC000000010,P004,NO_CONTACT,NONE,Nurture 30 ngày,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.2009,Do not prioritize,True,2026-08-31 18:00:00,BLOCKED,3
REC000000010,CUS00000004,SC000000016,P009,NO_CONTACT,NONE,Trong tuần này,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.6448,Medium,True,2026-08-31 18:00:00,BLOCKED,1
REC000000011,CUS00000004,SC000000013,P001,NO_CONTACT,NONE,Trong 2 tuần tới,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.5417,Low,True,2026-08-31 18:00:00,BLOCKED,2
REC000000012,CUS00000004,SC000000015,P007,NO_CONTACT,NONE,Nurture 30 ngày,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.4397,Low,True,2026-08-31 18:00:00,BLOCKED,3
REC000000013,CUS00000005,SC000000017,P001,RM_CALL,RM_CALL,Trong tuần này,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.5369,Do not prioritize,False,2026-08-31 18:00:00,RM_APPROVAL,1
REC000000014,CUS00000005,SC000000018,P004,RM_ASSISTED_MESSAGE,RM_CALL,Trong 2 tuần tới,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.4589,Do not prioritize,False,2026-08-31 18:00:00,RM_APPROVAL,2
REC000000015,CUS00000005,SC000000019,P007,RM_ASSISTED_MESSAGE,RM_CALL,Nurture 30 ngày,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.3704,Do not prioritize,False,2026-08-31 18:00:00,RM_APPROVAL,3
REC000000016,CUS00000006,SC000000024,P009,RM_CALL,RM_CALL,Trong tuần này,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.5995,Low,False,2026-08-31 18:00:00,RM_APPROVAL,1
REC000000017,CUS00000006,SC000000022,P004,RM_ASSISTED_MESSAGE,RM_CALL,Trong 2 tuần tới,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.5288,Low,False,2026-08-31 18:00:00,RM_APPROVAL,2
REC000000018,CUS00000006,SC000000021,P001,RM_ASSISTED_MESSAGE,RM_CALL,Nurture 30 ngày,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.4418,Do not prioritize,False,2026-08-31 18:00:00,RM_APPROVAL,3
REC000000019,CUS00000007,SC000000025,P001,RM_CALL,RM_CALL,Trong tuần này,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.7566,Medium,False,2026-08-31 18:00:00,RM_APPROVAL,1
REC000000020,CUS00000007,SC000000027,P007,RM_ASSISTED_MESSAGE,RM_CALL,Trong 2 tuần tới,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.6273,Medium,False,2026-08-31 18:00:00,RM_APPROVAL,2
REC000000021,CUS00000007,SC000000028,P009,RM_ASSISTED_MESSAGE,RM_CALL,Nurture 30 ngày,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.554,Low,False,2026-08-31 18:00:00,RM_APPROVAL,3
REC000000022,CUS00000008,SC000000032,P009,RM_CALL,RM_CALL,Trong tuần này,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.744,Medium,False,2026-08-31 18:00:00,RM_APPROVAL,1
REC000000023,CUS00000008,SC000000031,P007,RM_ASSISTED_MESSAGE,RM_CALL,Trong 2 tuần tới,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.674,Medium,False,2026-08-31 18:00:00,RM_APPROVAL,2
REC000000024,CUS00000008,SC000000030,P004,RM_ASSISTED_MESSAGE,RM_CALL,Nurture 30 ngày,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.615,Medium,False,2026-08-31 18:00:00,RM_APPROVAL,3
REC000000025,CUS00000009,SC000000033,P001,NURTURE,EMAIL,Trong tuần này,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.5111,Low,False,2026-08-31 18:00:00,NEW,1
REC000000026,CUS00000009,SC000000035,P007,NURTURE,EMAIL,Trong 2 tuần tới,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.4014,Do not prioritize,False,2026-08-31 18:00:00,NEW,2
REC000000027,CUS00000009,SC000000036,P009,NURTURE,EMAIL,Nurture 30 ngày,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.3866,Do not prioritize,False,2026-08-31 18:00:00,NEW,3
REC000000028,CUS00000010,SC000000037,P001,NO_CONTACT,NONE,Trong tuần này,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.119,Do not prioritize,True,2026-08-31 18:00:00,BLOCKED,1
REC000000029,CUS00000010,SC000000039,P007,NO_CONTACT,NONE,Trong 2 tuần tới,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.1507,Do not prioritize,True,2026-08-31 18:00:00,BLOCKED,2
REC000000030,CUS00000010,SC000000038,P004,NO_CONTACT,NONE,Nurture 30 ngày,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.1236,Do not prioritize,True,2026-08-31 18:00:00,BLOCKED,3
REC000000031,CUS00000011,SC000000041,P001,RM_CALL,RM_CALL,Trong vòng 48 giờ,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.7837,High,False,2026-08-31 18:00:00,RM_APPROVAL,1
REC000000032,CUS00000011,SC000000044,P009,RM_ASSISTED_MESSAGE,RM_CALL,Trong 2 tuần tới,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.6707,High,False,2026-08-31 18:00:00,RM_APPROVAL,2
REC000000033,CUS00000011,SC000000042,P004,RM_ASSISTED_MESSAGE,RM_CALL,Nurture 30 ngày,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.4387,Medium,False,2026-08-31 18:00:00,RM_APPROVAL,3
REC000000034,CUS00000012,SC000000048,P009,RM_CALL,RM_CALL,Trong tuần này,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.6263,Low,False,2026-08-31 18:00:00,RM_APPROVAL,1
REC000000035,CUS00000012,SC000000045,P001,RM_ASSISTED_MESSAGE,RM_CALL,Trong 2 tuần tới,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.452,Low,False,2026-08-31 18:00:00,RM_APPROVAL,2
REC000000036,CUS00000012,SC000000046,P004,RM_ASSISTED_MESSAGE,RM_CALL,Nurture 30 ngày,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.475,Low,False,2026-08-31 18:00:00,RM_APPROVAL,3
REC000000037,CUS00000013,SC000000050,P004,NURTURE,EMAIL,Trong tuần này,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.2289,Do not prioritize,False,2026-08-31 18:00:00,NEW,1
REC000000038,CUS00000013,SC000000051,P007,NURTURE,EMAIL,Trong 2 tuần tới,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.2242,Do not prioritize,False,2026-08-31 18:00:00,NEW,2
REC000000039,CUS00000013,SC000000052,P009,NURTURE,EMAIL,Nurture 30 ngày,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.2039,Do not prioritize,False,2026-08-31 18:00:00,NEW,3
REC000000040,CUS00000014,SC000000055,P007,NURTURE,EMAIL,Trong tuần này,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.2727,Do not prioritize,False,2026-08-31 18:00:00,NEW,1
REC000000041,CUS00000014,SC000000053,P001,NURTURE,EMAIL,Trong 2 tuần tới,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.2686,Do not prioritize,False,2026-08-31 18:00:00,NEW,2
REC000000042,CUS00000014,SC000000054,P004,NURTURE,EMAIL,Nurture 30 ngày,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.2167,Do not prioritize,False,2026-08-31 18:00:00,NEW,3
REC000000043,CUS00000015,SC000000060,P009,NURTURE,EMAIL,Trong tuần này,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.5333,Do not prioritize,False,2026-08-31 18:00:00,NEW,1
REC000000044,CUS00000015,SC000000057,P001,NURTURE,EMAIL,Trong 2 tuần tới,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.384,Do not prioritize,False,2026-08-31 18:00:00,NEW,2
REC000000045,CUS00000015,SC000000058,P004,NURTURE,EMAIL,Nurture 30 ngày,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.3757,Do not prioritize,False,2026-08-31 18:00:00,NEW,3
REC000000046,CUS00000016,SC000000061,P001,RM_CALL,RM_CALL,Trong tuần này,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.5635,Do not prioritize,False,2026-08-31 18:00:00,RM_APPROVAL,1
REC000000047,CUS00000016,SC000000062,P004,RM_ASSISTED_MESSAGE,RM_CALL,Trong 2 tuần tới,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.5333,Do not prioritize,False,2026-08-31 18:00:00,RM_APPROVAL,2
REC000000048,CUS00000016,SC000000063,P007,RM_ASSISTED_MESSAGE,RM_CALL,Nurture 30 ngày,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.425,Do not prioritize,False,2026-08-31 18:00:00,RM_APPROVAL,3
REC000000049,CUS00000017,SC000000068,P009,NURTURE,EMAIL,Trong tuần này,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.505,Low,False,2026-08-31 18:00:00,NEW,1
REC000000050,CUS00000017,SC000000065,P001,NURTURE,EMAIL,Trong 2 tuần tới,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.4039,Do not prioritize,False,2026-08-31 18:00:00,NEW,2
REC000000051,CUS00000017,SC000000066,P004,NURTURE,EMAIL,Nurture 30 ngày,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.3611,Do not prioritize,False,2026-08-31 18:00:00,NEW,3
REC000000052,CUS00000018,SC000000069,P001,NURTURE,EMAIL,Trong tuần này,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.4575,Do not prioritize,False,2026-08-31 18:00:00,NEW,1
REC000000053,CUS00000018,SC000000071,P007,NURTURE,EMAIL,Trong 2 tuần tới,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.4081,Do not prioritize,False,2026-08-31 18:00:00,NEW,2
REC000000054,CUS00000018,SC000000072,P009,NURTURE,EMAIL,Nurture 30 ngày,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.3889,Do not prioritize,False,2026-08-31 18:00:00,NEW,3
REC000000055,CUS00000019,SC000000074,P004,NURTURE,EMAIL,Trong tuần này,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.2821,Do not prioritize,False,2026-08-31 18:00:00,NEW,1
REC000000056,CUS00000019,SC000000073,P001,NURTURE,EMAIL,Trong 2 tuần tới,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.1284,Do not prioritize,False,2026-08-31 18:00:00,NEW,2
REC000000057,CUS00000019,SC000000075,P007,NURTURE,EMAIL,Nurture 30 ngày,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.145,Do not prioritize,False,2026-08-31 18:00:00,NEW,3
REC000000058,CUS00000020,SC000000079,P007,RM_CALL,RM_CALL,Trong tuần này,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.6119,Low,False,2026-08-31 18:00:00,RM_APPROVAL,1
REC000000059,CUS00000020,SC000000080,P009,RM_ASSISTED_MESSAGE,RM_CALL,Trong 2 tuần tới,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.6051,Low,False,2026-08-31 18:00:00,RM_APPROVAL,2
REC000000060,CUS00000020,SC000000078,P004,RM_ASSISTED_MESSAGE,RM_CALL,Nurture 30 ngày,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.5689,Low,False,2026-08-31 18:00:00,RM_APPROVAL,3
REC000000061,CUS00000021,SC000000082,P004,NURTURE,EMAIL,Trong tuần này,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.3433,Do not prioritize,False,2026-08-31 18:00:00,NEW,1
REC000000062,CUS00000021,SC000000081,P001,NURTURE,EMAIL,Trong 2 tuần tới,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.2389,Do not prioritize,False,2026-08-31 18:00:00,NEW,2
REC000000063,CUS00000021,SC000000084,P009,NURTURE,EMAIL,Nurture 30 ngày,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.2387,Do not prioritize,False,2026-08-31 18:00:00,NEW,3
REC000000064,CUS00000022,SC000000087,P007,NO_CONTACT,NONE,Trong tuần này,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.4189,Do not prioritize,True,2026-08-31 18:00:00,BLOCKED,1
REC000000065,CUS00000022,SC000000085,P001,NO_CONTACT,NONE,Trong 2 tuần tới,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.3515,Do not prioritize,True,2026-08-31 18:00:00,BLOCKED,2
REC000000066,CUS00000022,SC000000088,P009,NO_CONTACT,NONE,Nurture 30 ngày,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.2063,Do not prioritize,True,2026-08-31 18:00:00,BLOCKED,3
REC000000067,CUS00000023,SC000000089,P001,NURTURE,EMAIL,Trong tuần này,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.6802,Low,False,2026-08-31 18:00:00,NEW,1
REC000000068,CUS00000023,SC000000091,P007,NURTURE,EMAIL,Trong 2 tuần tới,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.4571,Do not prioritize,False,2026-08-31 18:00:00,NEW,2
REC000000069,CUS00000023,SC000000092,P009,NURTURE,EMAIL,Nurture 30 ngày,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.4414,Do not prioritize,False,2026-08-31 18:00:00,NEW,3
REC000000070,CUS00000024,SC000000095,P007,NURTURE,EMAIL,Trong tuần này,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.468,Do not prioritize,False,2026-08-31 18:00:00,NEW,1
REC000000071,CUS00000024,SC000000096,P009,NURTURE,EMAIL,Trong 2 tuần tới,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.4452,Do not prioritize,False,2026-08-31 18:00:00,NEW,2
REC000000072,CUS00000024,SC000000093,P001,NURTURE,EMAIL,Nurture 30 ngày,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.3465,Do not prioritize,False,2026-08-31 18:00:00,NEW,3
REC000000073,CUS00000025,SC000000097,P001,RM_CALL,RM_CALL,Trong tuần này,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.4102,Do not prioritize,False,2026-08-31 18:00:00,RM_APPROVAL,1
