campaign_id,campaign_name,product_id,start_date,end_date,channel,campaign_type,target_segment,campaign_status
CMP01,Ưu đãi mở thẻ Platinum hoàn tiền 6%,P001,2026-07-12,2026-10-10,MULTI,ACQUISITION,MASS,COMPLETED
CMP02,Nâng hạng thẻ Gold lên Platinum,P001,2026-04-06,2026-05-06,RM_OUTBOUND,UPSELL,MASS,COMPLETED
CMP03,Vay mua nhà lãi suất 6.5% cố định 24T,P004,2026-05-20,2026-07-19,RM_OUTBOUND,ACQUISITION,AFFLUENT,COMPLETED
CMP04,Vay mua ô tô duyệt nhanh 8 giờ,P005,2026-03-16,2026-06-14,SMS,ACQUISITION,SME,COMPLETED
CMP05,Tiền gửi online +0.5% lãi suất,P007,2026-04-14,2026-05-29,RM_OUTBOUND,CROSS_SELL,ALL,COMPLETED
CMP06,Tái tục tiền gửi nhận quà,P007,2026-04-01,2026-06-30,RM_OUTBOUND,RETENTION,MASS_AFFLUENT,COMPLETED
CMP07,Trải nghiệm quỹ mở miễn phí phí quản lý,P009,2026-04-04,2026-05-19,APP_PUSH,ACQUISITION,MASS_AFFLUENT,COMPLETED
CMP08,Danh mục trái phiếu cho khách Affluent,P010,2026-06-16,2026-07-16,MULTI,CROSS_SELL,MASS,COMPLETED
CMP09,Kích hoạt Mobile Banking nhận 100k,P003,2026-07-20,2026-10-18,APP_PUSH,ENGAGEMENT,AFFLUENT,COMPLETED
CMP10,Ưu đãi tài khoản nhận lương,P007,2026-04-13,2026-05-28,EMAIL,ENGAGEMENT,SME,COMPLETED
CMP11,Chương trình tri ân khách hàng thân thiết,P001,2026-07-06,2026-09-04,MULTI,RETENTION,ALL,COMPLETED
CMP12,Vay tiêu dùng tín chấp lãi suất ưu đãi,P006,2026-06-08,2026-09-06,RM_OUTBOUND,ACQUISITION,AFFLUENT,COMPLETED
