review_id,run_date,scope,product_code,product_group,segment,n_feedback,agree_rate,dominant_verdict,dominant_share,conversion_rate_acted,finding_type,model_is_wrong,explanation,proposed_fix,impact_recos,status
AGR00071,2026-08-31,product,FD_SAV_KIDS,FD,(tất cả),1335,0.39,NOT_RELEVANT,0.466,0.355,RULE_TOO_LOOSE,True,"AI đề xuất **Tiết kiệm Măng non** chủ yếu vì rule ""Cha mẹ / người giám hộ muốn tích luỹ dài hạn cho con"" và hard-gate: family_flag = 1 (cờ suy đoán theo độ tuổi, độ tin cậy thấp — không xác nhận KH có con). RM phản hồi: chỉ **39% đồng ý** trên 1335 lượt; lý do từ chối chính là **NOT_RELEVANT** (47%); tỉ lệ chuyển đổi của nhóm được RM theo đuổi = 36%. → **Mô hình SAI THẬT**: rule fit quá lỏng. Hiệu chỉnh: nâng ngưỡng fit_score 0.50 → 0.60 cho FD_SAV_KIDS.","{""kind"": ""min_fit"", ""product_code"": ""FD_SAV_KIDS"", ""from"": 0.5, ""to"": 0.6, ""note"": ""RM feedback NOT_RELEVANT trải đều các phân khúc""}",8121,APPLIED
AGR00109,2026-08-31,product,LEND_AUTO_NEW,LENDING,(tất cả),760,0.408,NOT_RELEVANT,0.433,0.316,RULE_TOO_LOOSE,True,"AI đề xuất **Vay mua ô tô mới** chủ yếu vì rule ""Khách cá nhân có nhu cầu mua xe phục vụ đi lại / gia đình"" và hard-gate: auto_intent = 1 (có giao dịch danh mục ô tô — bắt cả KH chỉ đổ xăng / bảo dưỡng). RM phản hồi: chỉ **41% đồng ý** trên 760 lượt; lý do từ chối chính là **NOT_RELEVANT** (43%); tỉ lệ chuyển đổi của nhóm được RM theo đuổi = 32%. → **Mô hình SAI THẬT**: rule fit quá lỏng. Hiệu chỉnh: nâng ngưỡng fit_score 0.50 → 0.60 cho LEND_AUTO_NEW.","{""kind"": ""min_fit"", ""product_code"": ""LEND_AUTO_NEW"", ""from"": 0.5, ""to"": 0.6, ""note"": ""RM feedback NOT_RELEVANT trải đều các phân khúc""}",6203,APPLIED
AGR00073,2026-08-31,product+segment,FD_SAV_KIDS,FD,MASS,680,0.291,NOT_RELEVANT,0.612,0.308,RULE_TOO_LOOSE_SEGMENT,True,"AI đề xuất **Tiết kiệm Măng non** cho phân khúc MASS chủ yếu vì rule ""Cha mẹ / người giám hộ muốn tích luỹ dài hạn cho con"" và hard-gate: family_flag = 1 (cờ suy đoán theo độ tuổi, độ tin cậy thấp — không xác nhận KH có con). RM phản hồi: chỉ **29% đồng ý** trên 680 lượt; lý do từ chối chính là **NOT_RELEVANT** (61%); tỉ lệ chuyển đổi của nhóm được RM theo đuổi = 31%. → **Mô hình SAI THẬT ở phân khúc MASS**: gate quá lỏng, bắt nhầm KH không thực sự phù hợp. Hiệu chỉnh: loại phân khúc MASS khỏi tệp đủ điều kiện của FD_SAV_KIDS (hoặc nâng ngưỡng gate theo tín hiệu thật).","{""kind"": ""block_segments"", ""product_code"": ""FD_SAV_KIDS"", ""add"": [""MASS""], ""note"": ""RM feedback NOT_RELEVANT tập trung ở phân khúc MASS""}",2419,APPLIED
AGR00074,2026-08-31,product+segment,FD_SAV_KIDS,FD,MASS_AFFLUENT,407,0.378,NOT_RELEVANT,0.499,0.37,RULE_TOO_LOOSE_SEGMENT,True,"AI đề xuất **Tiết kiệm Măng non** cho phân khúc MASS_AFFLUENT chủ yếu vì rule ""Cha mẹ / người giám hộ muốn tích luỹ dài hạn cho con"" và hard-gate: family_flag = 1 (cờ suy đoán theo độ tuổi, độ tin cậy thấp — không xác nhận KH có con). RM phản hồi: chỉ **38% đồng ý** trên 407 lượt; lý do từ chối chính là **NOT_RELEVANT** (50%); tỉ lệ chuyển đổi của nhóm được RM theo đuổi = 37%. → **Mô hình SAI THẬT ở phân khúc MASS_AFFLUENT**: gate quá lỏng, bắt nhầm KH không thực sự phù hợp. Hiệu chỉnh: loại phân khúc MASS_AFFLUENT khỏi tệp đủ điều kiện của FD_SAV_KIDS (hoặc nâng ngưỡng gate theo tín hiệu thật).","{""kind"": ""block_segments"", ""product_code"": ""FD_SAV_KIDS"", ""add"": [""MASS_AFFLUENT""], ""note"": ""RM feedback NOT_RELEVANT tập trung ở phân khúc MASS_AFFLUENT""}",1855,APPLIED
AGR00141,2026-08-31,product+segment,LEND_UNSECURED_PAYROLL,LENDING,MASS,290,0.352,CANT_AFFORD,0.438,0.294,GATE_INCOME_TOO_LOOSE,True,"AI đề xuất **Vay tín chấp theo lương / phân khúc** cho phân khúc MASS chủ yếu vì rule ""Khách cá nhân có thu nhập ổn định / nhận lương hoặc thuộc phân khúc đủ điều kiện"" và hard-gate: nhận lương qua MSB / thu nhập > 15tr (không đặt sàn thu nhập, không xét khả năng trả nợ). RM phản hồi: chỉ **35% đồng ý** trên 290 lượt; lý do từ chối chính là **CANT_AFFORD** (44%); tỉ lệ chuyển đổi của nhóm được RM theo đuổi = 29%. → **Mô hình SAI THẬT**: gate không kiểm tra khả năng trả nợ (dòng tiền ròng, dư nợ hiện có). Hiệu chỉnh: thêm điều kiện thu nhập ≥ 20tr cho LEND_UNSECURED_PAYROLL.","{""kind"": ""min_income"", ""product_code"": ""LEND_UNSECURED_PAYROLL"", ""from"": null, ""to"": 20000000, ""note"": ""RM feedback CANT_AFFORD — gate không kiểm tra dòng tiền ròng & dư nợ""}",1886,APPLIED
AGR00112,2026-08-31,product+segment,LEND_AUTO_NEW,LENDING,MASS_AFFLUENT,269,0.249,NOT_RELEVANT,0.684,0.388,RULE_TOO_LOOSE_SEGMENT,True,"AI đề xuất **Vay mua ô tô mới** cho phân khúc MASS_AFFLUENT chủ yếu vì rule ""Khách cá nhân có nhu cầu mua xe phục vụ đi lại / gia đình"" và hard-gate: auto_intent = 1 (có giao dịch danh mục ô tô — bắt cả KH chỉ đổ xăng / bảo dưỡng). RM phản hồi: chỉ **25% đồng ý** trên 269 lượt; lý do từ chối chính là **NOT_RELEVANT** (68%); tỉ lệ chuyển đổi của nhóm được RM theo đuổi = 39%. → **Mô hình SAI THẬT ở phân khúc MASS_AFFLUENT**: gate quá lỏng, bắt nhầm KH không thực sự phù hợp. Hiệu chỉnh: loại phân khúc MASS_AFFLUENT khỏi tệp đủ điều kiện của LEND_AUTO_NEW (hoặc nâng ngưỡng gate theo tín hiệu thật).","{""kind"": ""block_segments"", ""product_code"": ""LEND_AUTO_NEW"", ""add"": [""MASS_AFFLUENT""], ""note"": ""RM feedback NOT_RELEVANT tập trung ở phân khúc MASS_AFFLUENT""}",1277,APPLIED
AGR00111,2026-08-31,product+segment,LEND_AUTO_NEW,LENDING,MASS,215,0.265,NOT_RELEVANT,0.66,0.158,RULE_TOO_LOOSE_SEGMENT,True,"AI đề xuất **Vay mua ô tô mới** cho phân khúc MASS chủ yếu vì rule ""Khách cá nhân có nhu cầu mua xe phục vụ đi lại / gia đình"" và hard-gate: auto_intent = 1 (có giao dịch danh mục ô tô — bắt cả KH chỉ đổ xăng / bảo dưỡng). RM phản hồi: chỉ **27% đồng ý** trên 215 lượt; lý do từ chối chính là **NOT_RELEVANT** (66%); tỉ lệ chuyển đổi của nhóm được RM theo đuổi = 16%. → **Mô hình SAI THẬT ở phân khúc MASS**: gate quá lỏng, bắt nhầm KH không thực sự phù hợp. Hiệu chỉnh: loại phân khúc MASS khỏi tệp đủ điều kiện của LEND_AUTO_NEW (hoặc nâng ngưỡng gate theo tín hiệu thật).","{""kind"": ""block_segments"", ""product_code"": ""LEND_AUTO_NEW"", ""add"": [""MASS""], ""note"": ""RM feedback NOT_RELEVANT tập trung ở phân khúc MASS""}",1687,APPLIED
AGR00132,2026-08-31,product,LEND_OVERDRAFT_PERSONAL,LENDING,(tất cả),199,0.422,NO_NEED_NOW,0.327,0.167,INSUFFICIENT_SIGNAL,False,"AI đề xuất **Thấu chi cá nhân (M-Payroll / M-First)** chủ yếu vì rule ""Khách cá nhân có thu nhập ổn định, cần nguồn tiền dự phòng ngắn hạn"" và hard-gate: rule fit tổng hợp theo cột 'Khách hàng/Nhu cầu phù hợp'. RM phản hồi: chỉ **42% đồng ý** trên 199 lượt; lý do từ chối chính là **NO_NEED_NOW** (33%); tỉ lệ chuyển đổi của nhóm được RM theo đuổi = 17%. → Chưa đủ tín hiệu nhất quán để kết luận. Tiếp tục thu thập feedback.","{""kind"": ""NONE""}",1862,NO_ACTION
AGR00133,2026-08-31,product+segment,LEND_OVERDRAFT_PERSONAL,LENDING,MASS,172,0.407,NO_NEED_NOW,0.343,0.186,INSUFFICIENT_SIGNAL,False,"AI đề xuất **Thấu chi cá nhân (M-Payroll / M-First)** cho phân khúc MASS chủ yếu vì rule ""Khách cá nhân có thu nhập ổn định, cần nguồn tiền dự phòng ngắn hạn"" và hard-gate: rule fit tổng hợp theo cột 'Khách hàng/Nhu cầu phù hợp'. RM phản hồi: chỉ **41% đồng ý** trên 172 lượt; lý do từ chối chính là **NO_NEED_NOW** (34%); tỉ lệ chuyển đổi của nhóm được RM theo đuổi = 19%. → Chưa đủ tín hiệu nhất quán để kết luận. Tiếp tục thu thập feedback.","{""kind"": ""NONE""}",1012,NO_ACTION
AGR00020,2026-08-31,product+segment,CARD_CC_SIGNATURE,CARD,MASS_AFFLUENT,30,0.467,WRONG_TIMING,0.333,0.5,RM_SKEPTICISM,False,"AI đề xuất **Thẻ tín dụng Visa Signature** cho phân khúc MASS_AFFLUENT chủ yếu vì rule ""Khách thu nhập khá / cao, ưu tiên hoàn tiền cho chi tiêu thiết yếu và phong cách sống"" và hard-gate: rule fit tổng hợp theo cột 'Khách hàng/Nhu cầu phù hợp'. RM phản hồi: chỉ **47% đồng ý** trên 30 lượt; lý do từ chối chính là **WRONG_TIMING** (33%); tỉ lệ chuyển đổi của nhóm được RM theo đuổi = 50%. → Nhóm này **vẫn chuyển đổi tốt** khi RM tiếp cận (> 18%), nên đây là **RM thận trọng / lệch thời điểm**, KHÔNG phải mô hình sai. Giữ nguyên, chỉ nhắc lại về timing.","{""kind"": ""NONE""}",322,NO_ACTION
